Model-Classifier,Average Score
GANBLR-LR,0.9047790901137354
GANBLR++-LR,0.9007791994750656
RLiG-LR,0.8967054899387574
GANBLR++-XGB,0.895631014873141
GANBLR-MLP,0.8936078302712162
GANBLR-XGB,0.8909968285214346
GANBLR++-MLP,0.8873386920384952
RLiG-RF,0.8859361329833769
RLiG-MLP,0.8857137649460486
GANBLR++-RF,0.8837106299212599
GANBLR-RF,0.8815635024788567
CTABGAN-MLP,0.8536736293379994
CTABGAN-LR,0.8454997812773403
CTABGAN-XGB,0.8294209317585303
CTABGAN-RF,0.8252232793817439
TABSYN-LR,0.6551317804024497
CTGAN-LR,0.640799978127734
TABSYN-MLP,0.6039488553514143
TABSYN-XGB,0.5956829615048119
CTGAN-RF,0.5865458223972004
TABSYN-RF,0.5845098789734616
NB-MLP,0.5784804243219597
NB-LR,0.5784776902887139
NB-RF,0.5782462088072323
NB-XGB,0.5760471347331583
CTGAN-MLP,0.574517898804316
CTGAN-XGB,0.5169455380577429
GREAT-MLP,0.27100648877223676
GREAT-LR,0.2502269247594051
GREAT-XGB,0.24360509623797025
GREAT-RF,0.2048939195100612
