,TABDIFF-LR,TABDIFF-MLP,TABDIFF-RF,TABDIFF-XGB,TABDIFF-AVG
Rice,0.6758530183727034,0.6837270341207349,0.6014873140857393,0.6417322834645669,0.6506999125109362
Car,0.6994219653179191,0.6714836223506744,0.4219653179190751,0.4450867052023121,0.5594894026974951
TicTacToe,0.6510416666666666,0.6458333333333334,0.5086805555555555,0.5416666666666666,0.5868055555555555
Chess,0.553125,0.5005208333333333,0.4979166666666667,0.5578125,0.52734375
Magic,0.6277602523659306,0.5346126883981773,0.4779179810725552,0.5157728706624606,0.5390159481247809
letter_recog,0.0085,0.0394166666666666,0.02025,0.00275,0.0177291666666666
connect4,0.0961367673179395,0.125690744029998,0.1710331557134399,0.1385435168738898,0.1328510459838168
maternal_health,0.3448275862068966,0.3825944170771757,0.2725779967159277,0.3596059113300492,0.3399014778325123
nursery,0.3229166666666667,0.2840792181069959,0.2547582304526749,0.2662037037037037,0.2819894547325103
room_occupancy,0.1337611056268509,0.5641658440276407,0.2770648239552484,0.3741362290227048,0.3372820006581112
adult,0.7606715119254787,0.7606715119254787,0.2504862319582352,0.7606715119254787,0.6331251919336677
default,0.7521666666666667,0.6661666666666667,0.5612777777777778,0.686,0.6664027777777778
nsl-kdd,0.5338360785870212,0.5376728186809552,0.5427002712178343,0.5417741615399881,0.5389958325064498
credit,0.5579710144927537,0.5531400966183575,0.5700483091787439,0.5579710144927537,0.5597826086956522
covtype,0.474170202146244,0.3308176208875846,0.1789970999027563,,0.327994974312195
